date_of_report,date_of_reports,ref,deceased_name,deceased_names,coroner_name,coroner_area,category,this_report_is_being_sent_to,these_report_are_being_sent_to,url
07/06/2023,,2023-0181,David Wood,,Tom Osborne,Milton Keynes,Suicide (from 2015) | Mental Health related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/david-wood-prevention-of-future-deaths-report/
07/06/2023,,2023-0180,Robert Stevenson,,Martin Fleming,West Yorkshire (Western),"Suicide (from 2015) | Alcohol, drugs medication related deathsThis report is being sent to",,,https://www.judiciary.uk/prevention-of-future-death-reports/robert-stevenson-prevention-of-future-deaths-report/
02/06/2023,,2023-0179,Nigel Harper,,David Reid,Worcestershire,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/nigel-harper-prevention-of-future-deaths-report/
/0206/2023,,2023-0178,Andrew Dean,,Michael Spencer,East Sussex,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/andrew-dean-prevention-of-future-deaths-report/
31/05/2023,,2023-0177,Andrew Shambrook,,John Gittins,North Wales East and Central,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/andrew-shambrook-prevention-of-future-deaths-report/
25/05/2023,,2023-0176,Jean Hardy,,Karen Dilks,Newcastle upon Tyne and North Tyneside,Road (Highways Safety) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/jean-hardy-prevention-of-future-deaths-report/
30/05/2023,,2023-0175,Carol Clements,,Rebecca Ollivere,Birmingham and Solihull,Care Home Health related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/carol-clements-prevention-of-future-deaths-report/
26/05/2023,,2023-0174,Jessica Hodgkinson,,Matthew Kewley,Derby and Derbyshire,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/jessica-hodgkinson-prevention-of-future-deaths-report/
26/05/2023,,2023-0173,Conrad Colson,,Nadia Persaud,East London,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/conrad-colson-prevention-of-future-deaths-report/
12/05/2023,,2023-0172,Angela Craddock,,Jacqueline Devonish,Cheshire,Other related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/angela-craddock-prevention-of-future-deaths-report/
24/05/2023,,2023-0171,Peter Camp,,Jason Pegg,"Hampshire, Portsmouth and Southampton",Other related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/peter-camp-prevention-of-future-deaths-report/
23/05/2023,,2023-0170,Daniel Lyle,,Paul Rogers,Inner West London,Mental Health related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/daniel-lyle-prevention-of-future-deaths-report/
22/05/2023,,2023-0169,Kaius Tutt,,Guy Davies,Cornwall and the Isles of Scilly,Road (Highways Safety) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/kaiustutt-prevention-of-future-deaths-report/
22/05/2023,,2023-0168,Karl Mitchell,,Peter Harrowing,Avon,Accident at Work and health and Safety related deaths | Other related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/61812-2/
19/05/2023,,2023-0167,Amelia Barbosa,,Samantha Goward,Cambridgeshire and Peterborough,Child Death (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/amelia-barbosa-prevention-of-future-deaths-report/
19/05/2023,,2023-0166,Emilia Watson,,Richard Brittain,Warwickshire,Child Death (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/emilia-watson-prevention-of-future-deaths-report/
19/05/2023,,2023-0165,Norma Bruton,,Vanessa McKinlay,Birmingham and Solihull,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/norma-bruton-prevention-of-future-deaths-report/
18/05/2023,,2023-0163,Samuel Morgan,,Kristen Heaven,Swansea Neath Port Talbot,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/samuel-morgan-prevention-of-future-deaths-report/
11/05/2023,,2023-0162,Julie Nolan,,Andrew Hetherington,North Northumberland and South Northumberland,Care Home Health related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/julie-nolan-prevention-of-future-deaths-report/
16/05/2023,,2023-0161,Stuart Robinson,,Kate Ainge,Liverpool and Wirral,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/stuart-robinson-prevention-of-future-deaths-report/
12/05/2023,,2023-0160,Tamsin Dolamore,,Andrew Cox,Cornwall and the Isles of Scilly,Other related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/tamsin-dolamore-prevention-of-future-deaths-report/
15/05/2023,,2023-0159,Julie Hancock,,Andrew Cox,Cornwall and the Isles of Scilly,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/julie-hancock-prevention-of-future-deaths-report/
16/05/2023,,2023-0158,Roger Southwick,,Christopher Briggs,Manchester South,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/roger-southwick-prevention-of-future-deaths-report/
16/05/2023,,2023-0157,Carl Thompson,,Anna Morris,Manchester South,"Alcohol, drugs medication related deaths | Mental Health related deathsThis report is being sent to",,,https://www.judiciary.uk/prevention-of-future-death-reports/carl-thompson-prevention-of-future-deaths-report/
16/05/2023,,2023-0156,Benedict Peters,,Chris Morris,Manchester South,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/benedict-peters-prevention-of-future-deaths-report/
15/05/2023,,2023-0155,Drew Howe,,Chris Morris,Manchester South,Suicide (from 2015) | Mental Health related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/drew-howe-prevention-of-future-deaths-report/
15/05/2023,,2023-0154,Rebecca Fisher,,Alison Mutch,Manchester South,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/rebecca-fisher-prevention-of-future-deaths-report/
12/05/2023,,2023-0153,Barbara Mitchell,,Peter Straker,North London,Care Home Health related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/barbara-mitchell-prevention-of-future-deaths-report/
15/05/2023,,2023-0152,Rebekah Mills,,Alison Mutch,Manchester South,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/rebekah-mills-prevention-of-future-deaths-report/
15/05/2023,,2023-0151,Raymond Lee,,Alison Mutch,Manchester South,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/raymond-lee-prevention-of-future-deaths-report/
12/05/2023,,2023-0150,Odessa Carey,,Andrew Hetherington,North Northumberland and South Northumberland,Other related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/odessa-carey-prevention-of-future-deaths-report/
11/05/2023,,2023-0149,Nicholas Pennicott,,Penelope Schofield,West Sussex,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/nicholas-pennicott-prevention-of-future-deaths-report/
07/05/2023,,2023-0148,Bency Joseph,,Sonia Hayes,Essex,Mental Health related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/bency-joseph-prevention-of-future-deaths-report/
05/05/2023,,2023-0147,Joshua Asprey,,Sonia Hayes,Essex,Mental Health related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/joshua-asprey-prevention-of-future-deaths-report/
05/05/2023,,2023-0146,Callum Wong,,Peter Straker,North London,Child Death (from 2015) |Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/callum-wong-prevention-of-future-deaths-report/
13/02/2023,,2023-0145,Minaal Salam,,Emma Serrano,Stoke on Trent and North Staffordshire,Child Death (from 2015) | Road Traffic CollisionThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/minaal-salam-prevention-of-future-deaths-report/
27/04/2023,,2023-0144,Caroline Forte,,Penelope Schofield,West Sussex,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/caroline-forte-prevention-of-future-deaths-report/
28/04/2023,,2023-0143,Winbourne Charles,,Graeme Irvine,East London,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/winbourne-charles-prevention-of-future-deaths-report/
27/04/2023,,2023-0142,Milan Hamza,,Simon Milburn,Cambridgeshire and Peterborough,Road (Highways Safety) related deaths | Child Death (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/milan-hamza-prevention-of-future-deaths-report/
27/04/2023,,2023-0141,Vivien Radocz,,Simon Milburn,Cambridgeshire and Peterborough,Cambridgeshire County CouncilThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/vivien-radocz-prevention-of-future-deaths-report/
27/04/2023,,2023-0140,Ben Shipley,,Ian Pears,West Yorkshire Western,Mental Health related deaths | Railway related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/ben-shipley-prevention-of-future-deaths-report/
26/04/2023,,2023-0139,Elsie Leaver,,Fiona Wilcox,Inner West London,Suicide (from 2015) | Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/elsie-leaver-prevention-of-future-deaths-report/
26/04/2023,,2023-0138,Colin Gumm,,Paul Cooper,Lincolnshire,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/colin-gumm-prevention-of-future-deaths-report/
26/04/2023,,2023-0137,Nancy Price,,Kate Sutherland,North Wales East and Central,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/nancy-price-prevention-of-future-deaths-report/
26/04/2023,,2023-0136,Janet Smith,,Catherine Mason,Leicester City and South Leicestershire,Care Home Health related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/janet-smith-prevention-of-future-deaths-report/
25/04/2023,,2023-0135,John Roberts,,Guy Davies,Cornwall and the Isles of Scilly,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/john-roberts-prevention-of-future-deaths-report/
12/05/2017,,2023-0134,Nasar Ahmed,,Mary Hassell,Inner North London,Child Death (from 2015) | Other related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/nasar-ahmed-prevention-of-future-deaths-report/
24/04/2023,,2023-0133,Samuel Howes,,John Taylor,South London,Child Death (from 2015) | Suicide (from 2015) | Railway related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/samuel-howes-prevention-of-future-deaths-report/
24/04/2023,,2023-0132,Christopher Evans,,Peter Harrowing,Avon,Other related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/christopher-evans-prevention-of-future-deaths-report/
20/04/2023,,2023-0131,Jodie McCann,,Elizabeth Didcock,Nottinghamshire,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/jodie-mccann-prevention-of-future-deaths-report/
21/04/2023,,2023-0130,Peter Lawrence,,Heidi Connor,Berkshire,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/peter-lawrence-prevention-of-future-deaths-report/
21/04/2023,,2023-0129,Amy Henderson,,Caroline Topping,Surrey,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/amy-henderson-prevention-of-future-deaths-report/
20/04/2023,,2023-0128,Joseph Maunick,,Peter Taheri,Suffolk,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/joseph-maunick-prevention-of-future-deaths-report/
20/04/2023,,2023-0127,Chester Mossop,,Kirsty Gomersal,Cumbria,Child Death (from 2015) This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/chester-mossop-prevention-of-future-deaths-report/
19/04/2023,,2023-0126,Elizabeth Hutchins,,Maria Voisin,Avon,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/elizabeth-hutchins-prevention-of-future-deaths-report/
19/04/2023,,2023-0125,David Mason,,Nicholas Lane,Worcestershire,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/david-mason-prevention-of-future-deaths-report/
18/04/2023,,2023-0124,Patrick Soames,,Edmund Gritt,South London,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/patrick-soames-prevention-of-future-deaths-report/
15/02/2023,,2023-0123,Natalie Young,,Samantha Marsh,Somerset,Other related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/natalie-young-prevention-of-future-deaths-report/
24/04/2020,,2023-0122,Russell Curwen,,James Newman,Lancashire and Blackburn with Darwen,Other related deaths | Road (Highways Safety) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/russell-curwen-prevention-of-future-deaths-report/
18/04/2023,,2023-0121,David Levett,,Anne Pember,Northamptonshire,Road (Highways Safety) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/david-levett-prevention-of-future-deaths-report/
18/04/2023,,2023-0120,John Stiff,,Nadia Persaud,East London,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/john-stiff-prevention-of-future-deaths-report/
18/04/2023,,2023-0119,Keith Hodson,,Hugh Bricknell,Herefordshire,Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/keith-hodson-prevention-of-future-deaths-report/
15/04/2023,,2023-0118,Sara Jones,,Duncan Ritchie,Stoke on Trent and North Staffordshire,Road (Highways Safety) related deaths This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/sara-jones-prevention-of-future-deaths-report/
06/04/2023,,2023-0117,Alexandra Briess,,Heidi Connor,Berkshire,Child Death (from 2015) | Hospital Death (Clinical Procedures and medical management) related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/alexandra-briess-prevention-of-future-deaths-report/
04/04/2023,,2023-0116,Thomas Jayamaha,,Elizabeth Didcock,Nottinghamshire,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/thomas-jayamaha-prevention-of-future-deaths-report/
31/03/2023,,2023-0112,Veronica Jenkins,,Anna Crawford,Surrey,Emergency services related deaths (2019 onwards)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/veronica-jenkins-prevention-of-future-deaths-report/
03/04/2023,,2023-0115,REDACTED,,Alan Wilson,Blackpool & Fylde,Child Death (from 2015) This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/joseph-bitsakaki-prevention-of-future-deaths-report/
07/02/2023,,2023-0114,Bridget Gormley,,David Reid,Worcestershire,Care Home Health related deathsThis report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/bridget-gormley-prevention-of-future-deaths-report/
31/03/2023,,2023-0113,Benjamin Hart,,Patricia Harding,Central and South East Kent,Suicide (from 2015)This report is being sent to,,,https://www.judiciary.uk/prevention-of-future-death-reports/benjamin-hart-prevention-of-future-deaths-report/
30/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/carol-robinson-prevention-of-future-deaths-report/
29/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/rebecca-kirby-prevention-of-future-deaths-report/
29/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/angela-kearn-prevention-of-future-deaths-report/
28/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/louis-rogers-prevention-of-future-deaths-report/
27/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/aoife-mcadam-prevention-of-future-deaths-report/
27/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/kayleigh-burns-prevention-of-future-deaths-report/
24/07/2017Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/gustavo-da-cruz-mohit-dupar-inthushan-sriskantharasa-gurushanth-srithavarajah-kenugen-saththiyanathan-kobikanthan-saththiyanathan-and-nitharsan-ravi-prevention-of-future-deaths-report/
26/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/jordan-clare-prevention-of-future-deaths-report/
23/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/benjamin-nelson-roux-prevention-of-future-deaths-report/
24/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/richard-hill-prevention-of-future-deaths-report/
23/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/jade-revell-prevention-of-future-deaths-report/
22/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/kenneth-adams-prevention-of-future-deaths-report/
22/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/ben-harrison-prevention-of-future-deaths-report/
30/08/2022Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/jennifer-davies-prevention-of-future-deaths-report/
14/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/nicola-norman-prevention-of-future-deaths-report/
17/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/benjamin-teague-prevention-of-future-deaths-report/
16/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/rachael-walker-prevention-of-future-deaths-report/
15/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/jai-singh-prevention-of-future-deaths-report/
16/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/john-ibbotson-prevention-of-future-deaths-report/
16/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/brian-harfield-prevention-of-future-deaths-report/
15/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/tarik-drakes-prevention-of-future-deaths-report/
13/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/lugh-baker-prevention-of-future-deaths-report/
13/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/charlotte-comer-prevention-of-future-deaths-report/
13/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/kelly-dunne-prevention-of-future-deaths-report/
13/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/gunapathyammah-ragnanathan-prevention-of-future-deaths-report/
09/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/tomas-ceida-prevention-of-future-deaths-report/
08/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/maxine-davison-lee-martyn-sophie-martyn-stephen-washington-and-kate-shepherd-prevention-of-future-deaths-report/
30/08/2022Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/glenn-barton-prevention-of-future-deaths-report/
06/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/maureen-dick-prevention-of-future-deaths-report/
06/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/evelina-vilkiene-prevention-of-future-deaths-report/
02/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/kathleen-fancourt-prevention-of-future-deaths-report/
01/03/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/annabel-findlay-prevention-of-future-deaths-report/
27/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/sophie-williams-prevention-of-future-deaths-report/
19/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/molly-ann-sergeant-prevention-of-future-deaths-report/
27/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/kyron-hibbert-prevention-of-future-deaths-report/
27/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/peter-seaby-prevention-of-future-deaths-report/
27/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/sharon-langley-prevention-of-future-deaths-report/
27/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/doris-smith-prevention-of-future-deaths-report/
28/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/stephen-chapple-and-jennifer-chapple-prevention-of-future-deaths-report/
24/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/sharon-harman-prevention-of-future-deaths-report/
23/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/anthony-ingram-prevention-of-future-deaths-report/
22/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/jacqueline-campbell-prevention-of-future-deaths-report/
22/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/james-parsons-prevention-of-future-deaths-report/
19/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/stefan-kluibenschadl-prevention-of-future-deaths-report/
17/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/rachelle-ross-prevention-of-future-deaths-report/
21/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/andrew-still-prevention-of-future-deaths-report/
20/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/david-strachan-prevention-of-future-deaths-report/
17/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/twn-bryn-prevention-of-future-deaths-report/
27/01/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/andrew-shirley-prevention-of-future-deaths-report/
19/01/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/lance-scott-prevention-of-future-deaths-report/
17/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/jamie-woods-prevention-of-future-deaths-report/
14/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/stephen-preston-prevention-of-future-deaths-report/
15/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/raniya-khan-prevention-of-future-deaths-report/
14/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/john-abrahams-prevention-of-future-deaths-report/
13/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/michael-poulton-prevention-of-future-deaths-report/
13/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/michael-roberts-prevention-of-future-deaths-report/
13/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/hannah-warren-prevention-of-future-deaths-report/
13/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/steven-easdale-prevention-of-future-deaths-report/
22/07/2022Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/christopher-ryan-prevention-of-future-deaths-report/
10/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/celia-sanderson-prevention-of-future-deaths-report/
10/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/sandra-lomax-prevention-of-future-deaths-report/
09/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/george-kearsey-prevention-of-future-deaths-report/
07/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/richard-kew-prevention-of-future-deaths-report/
19/01/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/michael-allen-prevention-of-future-deaths-report/
08/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/stephen-wood-prevention-of-future-deaths-report/
07/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/ania-sohail-prevention-of-future-deaths-report/
02/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/mary-white-prevention-of-future-deaths-report/
04/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/patricia-green-prevention-of-future-deaths-report/
04/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/kirsty-mckie-prevention-of-future-deaths-report/
04/02/2023Ref,,,,,,,,,,https://www.judiciary.uk/prevention-of-future-death-reports/benjamin-stanley-prevention-of-future-deaths-report/
